PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthRet,MthVol,ShrOut,DisFacPr,vwretd
84398,78462F10,SPY,46699,2024-08-30,563.680000,0.023366,1244598926,1006582,,0.021570
84398,78462F10,SPY,46699,2024-09-30,573.760000,0.021009,1045159530,1031332,0.000000,0.020970
84398,78462F10,SPY,46699,2024-10-31,568.640000,-0.008924,976134821,1028882,,-0.008300
84398,78462F10,SPY,46699,2024-11-29,602.550000,0.059634,901842892,1043082,,0.064859
84398,78462F10,SPY,46699,2024-12-31,586.080000,-0.024100,1059636545,1056882,0.000000,-0.031580
84398,78462F10,SPY,46699,2025-01-31,601.820000,0.026856,995605958,1047232,,0.032292
84398,78462F10,SPY,46699,2025-02-28,594.180000,-0.012695,871641461,1059432,,-0.017566
84398,78462F10,SPY,46699,2025-03-31,559.390000,-0.055721,1496972075,1059432,0.000000,-0.055123
84398,78462F10,SPY,46699,2025-04-30,554.540000,-0.008670,2237015141,1059432,,-0.003612
84398,78462F10,SPY,46699,2025-05-30,589.390000,0.062845,1402418469,1059432,,0.061265
84398,78462F10,SPY,46699,2025-06-30,617.850000,0.051394,1495567952,1018532,0.000000,0.049246
86755,46090E10,QQQ,35013,2011-03-31,57.430000,-0.004463,1736398177,425900,0.000000,0.003341
86755,46090E10,QQQ,35013,2011-04-29,59.080000,0.028731,1032715474,461150,,0.028597
86755,46090E10,QQQ,35013,2011-05-31,58.360000,-0.012187,1057032623,417550,,-0.014948
86755,46090E10,QQQ,35013,2011-06-30,57.050000,-0.020252,1155815656,400450,0.000000,-0.018447
86755,46090E10,QQQ,35013,2011-07-29,58.000000,0.016652,1283909252,427400,,-0.022534
86755,46090E10,QQQ,35013,2011-08-31,55.060000,-0.050690,2532843737,402850,,-0.057564
86755,46090E10,QQQ,35013,2011-09-30,52.490000,-0.044919,1678911951,405050,0.000000,-0.084983
86755,46090E10,QQQ,35013,2011-10-31,57.950000,0.104020,1621047514,438600,,0.114146
86755,46090E10,QQQ,35013,2011-11-30,56.390000,-0.026920,1300447294,427800,,-0.006270
86755,46090E10,QQQ,35013,2011-12-30,55.830000,-0.007034,1009483454,458000,0.000000,0.003676
86755,46090E10,QQQ,35013,2012-01-31,60.530000,0.084184,830585827,512650,,0.054106
86755,46090E10,QQQ,35013,2012-02-29,64.410000,0.064100,1021978578,516450,,0.041225
86755,46090E10,QQQ,35013,2012-03-30,67.550000,0.050529,1076285540,528150,0.000000,0.024020
86755,46090E10,QQQ,35013,2012-04-30,66.760000,-0.011695,1051231599,489050,,-0.006829
86755,46090E10,QQQ,35013,2012-05-31,62.060000,-0.070401,1299453779,475000,,-0.065590
86755,46090E10,QQQ,35013,2012-06-29,64.160000,0.036187,973033030,497950,0.000000,0.038151
86755,46090E10,QQQ,35013,2012-07-31,64.800000,0.009975,864734705,505450,,0.010307
86755,46090E10,QQQ,35013,2012-08-31,68.160000,0.051852,682346130,514150,,0.026317
